ID	hemi
0	D
M129366	CAMcC
M129368	CAMcC
M129370	CAMcC
M129371	CAMcC
M128788	CACVh
M128789	CACVh
M128790	CACVh
M128792	CACVh
M128793	CACVh
M128794	CACVh
M133802	CACVh
M133804	CACVh
M133806	CACVh
M133808	CACVh
M132898	CACVh
M128969	CACVh
M128971	CACVh
M129492	CACVh
M129495	CACVh
M132903	CACVh
M132906	CACVh
M132910	CACVh
M127421	CACVh
M127422	CACVh
M127424	CACVh
M127425	CACVh
M127426	CACVh
M127429	CACVh
M019404	CACo
M132831	CACo
M079916	CACo
M132856	CACo
M081449	CACo
M048736	CACo
M036407	CACo
M055824	CACo
M123674	CACo
M109391	CACo
M133589	CASL
M133590	CASL
M133591	CASL
M133592	CASL
M133593	CASL
M133594	CASL
M016812	CANac
M016813	CANac
M016814	CANac
M016820	CANac
M016821	CANac
M016822	CANac
M133815	Ltau
M133816	Ltau
M133817	Ltau
M133820	Ltau
M133822	Ltau
M133823	Ltau
M133825	Ltau
M133826	Ltau
M133827	Ltau
M133828	Ltau
M133829	Ltau
M133830	Ltau
M133831	Ltau
M133813	Ltau
M133814	Ltau
M133818	Ltau
M133819	Ltau
M133821	Ltau
M133824	Ltau
M133832	WaihaR
M133833	WaihaR
M133834	WaihaR
M133835	WaihaR
M019567	ArgNRDV
M019573	ArgNRDV
M019580	ArgNRDV
M019576	ArgNRDV
M019554	ArgNRDV
M019558	ArgNRDV
M019572	ArgNRDV
M019492	ArgSCR
M019494	ArgSCR
M019499	ArgSCR
M019502	ArgSCR
M019512	ArgSCR
M019514	ArgSCR
M019510	ArgSCR
M019513	ArgSCR
M019515	ArgSCR
M019516	ArgSCR
M019519	ArgSCR
M019528	ArgSCR
M019530	ArgSCR
M019533	ArgSCR
M019535	ArgNRDV
M019536	ArgNRDV
M019537	ArgNRDV
M019538	ArgNRDV
M019597	ArgSCR
M019605	ArgSCR
M019609	ArgSCR
M019618	ArgSCR
M019644	ArgSCR
M019651	ArgSCR
M019657	ArgSCR
M019695	ArgSCR
M019700	ArgSCR
M019704	ArgSCR
M019802	ArgSCR
M019825	ArgSCR
M019594	ArgSCR
