ID	hemi
0	B
M081449 0
M048736 0
M036407 0
M055824 0
M123674 0
M109391 0
M129366 0
M129368 0
M129370 0
M129371 0   
M133802 0
M133804 0
M133806 0
M133808 0
M132898 0
M132910 0
M128969 0
M128971 0
M129492 0
M129495 0
M132903 0
M132906 0
M019404 0
M132831 0
M079916 0
M132856 0
M133589 0
M133590 0
M133591 0
M133592 0
M133593 0
M133594 0
M133563 0
M133564 0
M133568 0
M133569 0
M133573 0
M133574 0
M133815 1
M133816 1
M133817 1
M133820 1
M133822 1
M133823 1
M133825 1
M133826 1
M133827 1
M133828 1
M133829 1
M133830 1
M133831 1
M133813 1
M133814 1
M133818 1
M133819 1
M133821 1
M133824 1
M133832 1
M133833 1
M133834 1
M133835 1
