id	chrom	start	stop	angsd_chrom	mh_label
scaff_group_1	NC_069361.1	1	121110697	NC_069361.1	1
scaff_group_2	NC_069362.1	1	120499105	NC_069362.1	2
scaff_group_3	NC_069363.1	1	104084471	NC_069363.1	3
scaff_group_4	NC_069364.1	1	100968995	NC_069364.1	4
scaff_group_5	NC_069365.1	1	97832188	NC_069365.1	5
scaff_group_6	NC_069366.1	1	91270759	NC_069366.1	6
scaff_group_7	NC_069367.1	1	88078429	NC_069367.1	7
scaff_group_8	NC_069368.1	1	86514381	NC_069368.1	8
scaff_group_9	NC_069369.1	1	85987162	NC_069369.1	9
scaff_group_10	NC_069370.1	1	82914371	NC_069370.1	10
scaff_group_11	NC_069371.1	1	82432825	NC_069371.1	11
scaff_group_12	NC_069372.1	1	82356740	NC_069372.1	12
scaff_group_13	NC_069373.1	1	81946364	NC_069373.1	13
scaff_group_14	NC_069374.1	1	76376716	NC_069374.1	14
scaff_group_15	NC_069375.1	1	74526284	NC_069375.1	15
scaff_group_16	NC_069376.1	1	74149818	NC_069376.1	16
scaff_group_17	NC_069377.1	1	73516942	NC_069377.1	17
scaff_group_18	NC_069378.1	1	64330741	NC_069378.1	18
scaff_group_19	NC_069379.1	1	46480821	NC_069379.1	19
scaff_group020	NW_026458967.1	1	61686	NW_026458967.1	20
scaff_group020	NW_026458968.1	1	14668	NW_026458968.1	20
scaff_group020	NW_026458969.1	1	71659	NW_026458969.1	20
scaff_group020	NW_026458971.1	1	74521	NW_026458971.1	20
scaff_group020	NW_026458972.1	1	68348	NW_026458972.1	20
scaff_group020	NW_026458973.1	1	67855	NW_026458973.1	20
scaff_group020	NW_026458975.1	1	71842	NW_026458975.1	20
scaff_group020	NW_026458976.1	1	69830	NW_026458976.1	20
scaff_group020	NW_026458978.1	1	68676	NW_026458978.1	20
scaff_group020	NW_026458979.1	1	69885	NW_026458979.1	20
scaff_group020	NW_026458980.1	1	70003	NW_026458980.1	20
scaff_group020	NW_026458981.1	1	70603	NW_026458981.1	20
scaff_group020	NW_026458982.1	1	52878	NW_026458982.1	20
scaff_group020	NW_026458983.1	1	66581	NW_026458983.1	20
scaff_group020	NW_026458984.1	1	81788	NW_026458984.1	20
scaff_group020	NW_026458986.1	1	63058	NW_026458986.1	20
scaff_group020	NW_026458987.1	1	60909	NW_026458987.1	20
scaff_group020	NW_026458988.1	1	70040	NW_026458988.1	20
scaff_group020	NW_026458989.1	1	70314	NW_026458989.1	20
scaff_group020	NW_026458990.1	1	71148	NW_026458990.1	20
scaff_group020	NW_026458991.1	1	70579	NW_026458991.1	20
scaff_group020	NW_026458992.1	1	66663	NW_026458992.1	20
scaff_group020	NW_026458993.1	1	71020	NW_026458993.1	20
scaff_group020	NW_026458994.1	1	69128	NW_026458994.1	20
