id	chrom	start	stop	angsd_chrom	mh_label
scaff_group001	NC_056429.1	1	95801903	NC_056429.1	1
scaff_group002	NC_056430.1	1	75537397	NC_056430.1	2
scaff_group003	NC_056431.1	1	81554755	NC_056431.1	3
scaff_group004	NC_056432.1	1	75613410	NC_056432.1	4
scaff_group005	NC_056433.1	1	90317969	NC_056433.1	5
scaff_group006	NC_056434.1	1	80340224	NC_056434.1	6
scaff_group007	NC_056435.1	1	77130101	NC_056435.1	7
scaff_group008	NC_056436.1	1	91267893	NC_056436.1	8
scaff_group009	NC_056437.1	1	86417572	NC_056437.1	9
scaff_group010	NC_056438.1	1	84826039	NC_056438.1	10
scaff_group011	NC_056439.1	1	56679371	NC_056439.1	11
scaff_group012	NC_056440.1	1	75652860	NC_056440.1	12
scaff_group013	NC_056441.1	1	95666326	NC_056441.1	13
scaff_group014	NC_056442.1	1	62516319	NC_056442.1	14
scaff_group015	NC_056443.1	1	41069628	NC_056443.1	15
scaff_group016	NC_056444.1	1	89555470	NC_056444.1	16
scaff_group017	NC_056445.1	1	24928494	NC_056445.1	17
scaff_group018	NC_056446.1	1	46953456	NC_056446.1	18
scaff_group019	NC_056447.1	1	60026146	NC_056447.1	19
scaff_group020	NC_056448.1	1	52270623	NC_056448.1	20
scaff_group021	NC_056449.1	1	44939649	NC_056449.1	21
scaff_group022	NC_056450.1	1	46238377	NC_056450.1	22
scaff_group023	NC_056451.1	1	27813821	NC_056451.1	23
scaff_group024	NC_056452.1	1	34545068	NC_056452.1	24
scaff_group025	NC_056453.1	1	47919032	NC_056453.1	25
scaff_group026	NC_056454.1	1	54312133	NC_056454.1	26
scaff_group027	NC_056455.1	1	21534814	NC_056455.1	27
scaff_group028	NC_056456.1	1	45212454	NC_056456.1	28
scaff_group029	NC_056457.1	1	39891728	NC_056457.1	29
scaff_group030	NC_056458.1	1	52926507	NC_056458.1	30
scaff_group031	NC_056459.1	1	41055135	NC_056459.1	31
scaff_group032	NC_056460.1	1	16871153	NC_056460.1	32
scaff_group033	NC_056461.1	1	50232734	NC_056461.1	33
scaff_group034	NC_056462.1	1	15889890	NC_056462.1	34
scaff_group035	NW_024606619.1	1	10027	NW_024606619.1	35
scaff_group035	NW_024606620.1	1	10041	NW_024606620.1	35
scaff_group035	NW_024606621.1	1	10041	NW_024606621.1	35
scaff_group035	NW_024606622.1	1	10055	NW_024606622.1	35
scaff_group035	NW_024606623.1	1	10071	NW_024606623.1	35
scaff_group035	NW_024606624.1	1	10071	NW_024606624.1	35
scaff_group035	NW_024606625.1	1	10072	NW_024606625.1	35
scaff_group035	NW_024606626.1	1	10078	NW_024606626.1	35
scaff_group035	NW_024606627.1	1	10080	NW_024606627.1	35
